YEAR,MONTH,National_Value,QTY_1_MO,UNIT_QY1,STATE,WI_Value,price,WI_QTY,date,WI_Mean,NAT_Mean
2013,1,153413330.0,284429069.0,KG,WI,31847.0,0.5393728937037726,59044.494767455995,2013-01-01,454019.5468403578,216239005.16666666
2013,2,130171085.0,239165903.0,KG,WI,0.0,0.5442710828223704,0.0,2013-02-01,454019.5468403578,216239005.16666666
2013,3,219148293.0,394632573.0,KG,WI,13781.0,0.5553223631137008,24816.216517429133,2013-03-01,454019.5468403578,216239005.16666666
2013,4,61796731.0,121677677.0,KG,WI,10530.0,0.5078723766233637,20733.55528806208,2013-04-01,454019.5468403578,216239005.16666666
2013,5,67140798.0,125776430.0,KG,WI,15211.0,0.5338106511689035,28495.12269320957,2013-05-01,454019.5468403578,216239005.16666666
2013,6,73798713.0,126918774.0,KG,WI,0.0,0.581464118145358,0.0,2013-06-01,454019.5468403578,216239005.16666666
2013,7,109061486.0,191002864.0,KG,WI,75405.0,0.5709939825823763,132059.18503549456,2013-07-01,454019.5468403578,216239005.16666666
2013,8,79612532.0,148666369.0,KG,WI,0.0,0.5355113771561879,0.0,2013-08-01,454019.5468403578,216239005.16666666
2013,9,43190361.0,76958566.0,KG,WI,83722.0,0.5612157716140397,149179.69920770053,2013-09-01,454019.5468403578,216239005.16666666
2013,10,75513622.0,140257064.0,KG,WI,404561.0,0.5383944298163834,751421.2213116199,2013-10-01,454019.5468403578,216239005.16666666
2013,11,181647482.0,346839766.0,KG,WI,612495.0,0.523721613859006,1169504.9121361892,2013-11-01,454019.5468403578,216239005.16666666
2013,12,215890318.0,398543007.0,KG,WI,1686298.0,0.5416989238503939,3112980.155127133,2013-12-01,454019.5468403578,216239005.16666666
2014,1,230198481.0,433205222.0,KG,WI,1247805.0,0.531384363136786,2348215.503809992,2014-01-01,1242400.4395908217,203207640.75
2014,2,163859809.0,306343550.0,KG,WI,445951.0,0.534889045321829,833726.1791025889,2014-02-01,1242400.4395908217,203207640.75
2014,3,189725149.0,355029001.0,KG,WI,537909.0,0.534393383260541,1006578.7055932633,2014-03-01,1242400.4395908217,203207640.75
2014,4,77103795.0,134612401.0,KG,WI,468245.0,0.572783743750325,817490.0302409888,2014-04-01,1242400.4395908217,203207640.75
2014,5,60425374.0,115904551.0,KG,WI,48814.0,0.5213373718172637,93632.26700945201,2014-05-01,1242400.4395908217,203207640.75
2014,6,36986588.0,62867537.0,KG,WI,562803.0,0.5883257045683211,956618.0699395955,2014-06-01,1242400.4395908217,203207640.75
2014,7,52697579.0,100656090.0,KG,WI,437837.0,0.5235408905710524,836299.5286240759,2014-07-01,1242400.4395908217,203207640.75
2014,8,16397145.0,27984413.0,KG,WI,409538.0,0.585938500836162,698943.6594720605,2014-08-01,1242400.4395908217,203207640.75
2014,9,36844447.0,67401970.0,KG,WI,6675.0,0.5466375389324674,12211.016486419243,2014-09-01,1242400.4395908217,203207640.75
2014,10,57040198.0,113248851.0,KG,WI,1019178.0,0.5036713176012708,2023498.190950845,2014-10-01,1242400.4395908217,203207640.75
2014,11,173805211.0,382499461.0,KG,WI,1414719.0,0.454393348805268,3113423.6531404057,2014-11-01,1242400.4395908217,203207640.75
2014,12,157795103.0,338738642.0,KG,WI,1010001.0,0.4658314211462181,2168168.470720172,2014-12-01,1242400.4395908217,203207640.75
2015,1,154514635.0,339234936.0,KG,WI,1021104.0,0.45547972393975367,2241820.9776008856,2015-01-01,1482991.2651374293,174036826.75
2015,2,111807202.0,253855757.0,KG,WI,1103707.0,0.44043595198039964,2505942.1126664006,2015-02-01,1482991.2651374293,174036826.75
2015,3,73475636.0,164850496.0,KG,WI,1263446.0,0.44571073659371946,2834677.0590623533,2015-03-01,1482991.2651374293,174036826.75
2015,4,96119950.0,219554651.0,KG,WI,1218158.0,0.4377950982236309,2782484.3287252854,2015-04-01,1482991.2651374293,174036826.75
2015,5,38147118.0,87762194.0,KG,WI,138060.0,0.4346645891737848,317624.2174740435,2015-05-01,1482991.2651374293,174036826.75
2015,6,54525029.0,133162399.0,KG,WI,43491.0,0.40946265169043705,106214.81549159744,2015-06-01,1482991.2651374293,174036826.75
2015,7,42565050.0,101754109.0,KG,WI,46919.0,0.4183128368801303,112162.46756836888,2015-07-01,1482991.2651374293,174036826.75
2015,8,55753297.0,131015100.0,KG,WI,352317.0,0.42554863523364866,827912.4190036689,2015-08-01,1482991.2651374293,174036826.75
2015,9,30891659.0,73087042.0,KG,WI,58439.0,0.42266943844847354,138261.71159787825,2015-09-01,1482991.2651374293,174036826.75
2015,10,63023015.0,151001762.0,KG,WI,1421188.0,0.41736609007251185,3405135.284836119,2015-10-01,1482991.2651374293,174036826.75
2015,11,87159224.0,213576162.0,KG,WI,901590.0,0.4080943452855942,2209268.543941832,2015-11-01,1482991.2651374293,174036826.75
2015,12,86958020.0,219587313.0,KG,WI,124501.0,0.3960065762087084,314391.24368072086,2015-12-01,1482991.2651374293,174036826.75
2016,1,101376465.0,263559887.0,KG,WI,123538.0,0.38464299766527066,321175.74153138994,2016-01-01,1130673.5062267904,161046573.25
2016,2,75243499.0,191523387.0,KG,WI,515190.0,0.3928684646747606,1311354.9351091448,2016-02-01,1130673.5062267904,161046573.25
2016,3,75622761.0,192407810.0,KG,WI,694920.0,0.3930337391190098,1768092.4837589571,2016-03-01,1130673.5062267904,161046573.25
2016,4,60276215.0,154928883.0,KG,WI,209424.0,0.38905731347717776,538285.7300079642,2016-04-01,1130673.5062267904,161046573.25
2016,5,53343903.0,133179081.0,KG,WI,132600.0,0.400542657296156,331050.88205863,2016-05-01,1130673.5062267904,161046573.25
2016,6,29726284.0,91841257.0,KG,WI,0.0,0.32367026509665475,0.0,2016-06-01,1130673.5062267904,161046573.25
2016,7,48316730.0,103606349.0,KG,WI,344743.0,0.4663491230638771,739238.0149341025,2016-07-01,1130673.5062267904,161046573.25
2016,8,30467344.0,78208371.0,KG,WI,390000.0,0.389566278013897,1001113.3458170821,2016-08-01,1130673.5062267904,161046573.25
2016,9,56771255.0,125974940.0,KG,WI,5043.0,0.4506551461743105,11190.374819439874,2016-09-01,1130673.5062267904,161046573.25
2016,10,62179088.0,150093023.0,KG,WI,1178024.0,0.41427034219971703,2843611.7192093907,2016-10-01,1130673.5062267904,161046573.25
2016,11,105135038.0,247888181.0,KG,WI,1567172.0,0.4241228346421244,3695089.893762458,2016-11-01,1130673.5062267904,161046573.25
2016,12,78047079.0,199347710.0,KG,WI,394597.0,0.39151229276724575,1007878.953712925,2016-12-01,1130673.5062267904,161046573.25
2017,1,92607931.0,227923248.0,KG,WI,593560.0,0.4063119133858605,1460848.1327898363,2017-01-01,1949238.9901867695,164707293.66666666
2017,2,54256550.0,133305776.0,KG,WI,0.0,0.4070082454641725,0.0,2017-02-01,1949238.9901867695,164707293.66666666
2017,3,113032430.0,282809993.0,KG,WI,194676.0,0.3996762236050124,487084.2659692267,2017-03-01,1949238.9901867695,164707293.66666666
2017,4,62180963.0,162344779.0,KG,WI,397373.0,0.3830179410943668,1037478.8159129508,2017-04-01,1949238.9901867695,164707293.66666666
2017,5,50548647.0,130219338.0,KG,WI,85800.0,0.3881808015334865,221031.02384520796,2017-05-01,1949238.9901867695,164707293.66666666
2017,6,54881292.0,145868201.0,KG,WI,716184.0,0.3762389035016617,1903535.2095024295,2017-06-01,1949238.9901867695,164707293.66666666
2017,7,39603147.0,104980878.0,KG,WI,581290.0,0.3772415296431413,1540896.0952678837,2017-07-01,1949238.9901867695,164707293.66666666
2017,8,45692741.0,123349879.0,KG,WI,922832.0,0.37043198883073086,2491231.934134308,2017-08-01,1949238.9901867695,164707293.66666666
2017,9,44651339.0,126142456.0,KG,WI,88709.0,0.3539755005245815,250607.7394298075,2017-09-01,1949238.9901867695,164707293.66666666
2017,10,42861596.0,100052366.0,KG,WI,2694039.0,0.4283916284398512,6288729.333510446,2017-10-01,1949238.9901867695,164707293.66666666
2017,11,70249834.0,195556161.0,KG,WI,1086064.0,0.359230993494498,3023302.6093741944,2017-11-01,1949238.9901867695,164707293.66666666
2017,12,93442302.0,243934449.0,KG,WI,1795081.0,0.3830631646455151,4686122.722504942,2017-12-01,1949238.9901867695,164707293.66666666
2018,1,37427209.0,97305156.0,KG,WI,526045.0,0.38463746977601065,1367638.4682603504,2018-01-01,2479300.5209327624,219451000.75
2018,2,73090011.0,188877155.0,KG,WI,582841.0,0.3869711559346603,1506161.3535309907,2018-02-01,2479300.5209327624,219451000.75
2018,3,73724938.0,186465028.0,KG,WI,2096450.0,0.39538211958973885,5302338.917539679,2018-03-01,2479300.5209327624,219451000.75
2018,4,101910157.0,251293614.0,KG,WI,2628154.0,0.4055421678960771,6480593.654747839,2018-04-01,2479300.5209327624,219451000.75
